File Name:  US_OG_022014.shp
Format:  Shapefile
Date:  All data were obtained in February 2014
Notes:  This contains oil and gas wells from all states that have them, except for Maryland (n=104), North Carolina (n=2), and Texas (n=303,909).  All other states showing no wells have been verified not to have any active wells (CT, DE, DC, GA, HI, IA, ME, MA, MN, NH, NJ, RI, SC, VT, and WI).  Data sources include:

Region	Abbreviation	Nat Map Check	Regulatory Agency	Regulatory Website
Alabama	AL	Yes	Alabama Oil and Gas Board	http://www.ogb.state.al.us/ogb/ogb.html
Alaska	AK	Yes	Alaska Oil and Gas Conservation Commission	http://doa.alaska.gov/ogc/
Arizona	AZ	Yes	Arizona Oil and Gas Conservation Commission	http://www.azogcc.az.gov/
Arkansas	AR	Yes	Arkansas Oil and Gas Commission	http://www.aogc.state.ar.us/
California	CA	Yes	California Division of Oil, Gas & Geothermal Resources	http://www.conservation.ca.gov/dog/Pages/Index.aspx
Colorado	CO	Yes	Colorado Oil and Gas Conservation Commission	http://cogcc.state.co.us/
Florida	FL	Yes	Florida Department of Environmental Protection	http://www.dep.state.fl.us/water/mines/oil_gas/
Idaho	ID	Yes	Idaho Dept. of Lands - Oil and Gas Conservation Commission	http://www.idl.idaho.gov/bureau/Minerals/min_leasing/iogcc.html
Illinois	IL	Yes	Illinois Department of Natural Resources - Office of Oil and Gas Resource Management	http://www.dnr.illinois.gov/OilandGas/Pages/default.aspx
Indiana	IN	Yes	Indiana Dept. of Natural Resources	http://www.in.gov/dnr/dnroil/5715.htm
Kansas	KS	Yes	Kansas Corporation Commission - Oil and Gas Conservation Division	http://www.kgs.ku.edu/PRS/petroDB.html
Kentucky	KY	Yes	Kentucky Energy and Environment Cabinet - Department for Natural Resources - Division of Oil and Gas	http://oilandgas.ky.gov/Pages/Welcome.aspx
Louisiana	LA	Yes	Louisiana Departement of Environmental Quality	http://www.deq.louisiana.gov/portal/HOME.aspx
Michigan	MI	Yes	Michigan Dept. of Environmental Quality - Office of Oil and Gas Management	http://www.michigan.gov/deq/0,4561,7-135-3311_4111_4231---,00.html
Mississippi	MS	Yes	Mississippi Oil and Gas Board	http://www.ogb.state.ms.us/
Missouri	MO	Yes	Missouri Dept. of Natural Resources - Geological Survey Program	http://www.dnr.mo.gov/geology/geosrv/ogc/index.html
Montana	MT	Yes	Montana NDRC - Board of Oil and Gas 	http://bogc.dnrc.mt.gov/default.asp
Nebraska	NE	Yes	Nebraska Oil and Gas Conservation Commission	http://www.nogcc.ne.gov/
Nevada	NV	Yes	Nevada Commission on Minerals - Division of Minerals 	http://minerals.state.nv.us/
New Mexico	NM	Yes	New Mexico Energy, Minerals, and Natural Conservation Department - Oil Conservation Division	http://www.emnrd.state.nm.us/OCD/
New York	NY	Yes	New York Department of Environmental Conservation	http://www.dec.ny.gov/
North Dakota	ND	Yes	North Dakota Industrial Commission - Oil and Gas Division	https://www.dmr.nd.gov/oilgas/
Ohio	OH	Yes	Ohio Dept. of Natural Resources - Oil and Gas Resources	http://oilandgas.ohiodnr.gov/shale
Oklahoma	OK	Yes	Oklahoma Geological Survey - Oil and Gas	http://www.ogs.ou.edu/level3-oilgas.php
Oregon	OR	Yes	Oregon Department of Geology and Mineral Industries - Oil, Gas, and Geothermal Program	http://www.oregon.gov/DOGAMI/Pages/oil/oilhome.aspx
Pennsylvania	PA	Yes	Pennsylvania Department of Environmental Protection	http://www.portal.state.pa.us/portal/server.pt/community/office_of_oil_and_gas_management/20291
South Dakota	SD	Yes	South Dakota Department of Environment and Natural Resources	http://denr.sd.gov/des/og/oghome.aspx
Tennessee	TN	Yes	Tennessee Dept. of Environment and Conservation	http://www.tennessee.gov/environment/
Utah	UT	Yes	Utah Department of Natural Resources - Division of Oil, Gas, and Mining	http://oilgas.ogm.utah.gov/
Virginia	VA	Yes	Virginia Dept. of Mines, Minerals, and Energy - Division of Gas and Oil	http://www.dmme.virginia.gov/dgoinquiry/frmMain.aspx?ctl=1
Washington	WA	Yes	Washington State Dept. of Natural Resources 	http://www.dnr.wa.gov/ResearchScience/Topics/EarthResources/Pages/oil_gas_resources.aspx
West Virginia	WV	Yes	West Virginia Department of Environmental Protection - Office of Oil and Gas	http://www.dep.wv.gov/oil-and-gas/Pages/default.aspx
Wyoming	WY	Yes	Wyoming Oil and Gas Conservation Commission	http://wogcc.state.wy.us/
